Drug Name,Cell Line Name,TCGA Classification,IC50 (uM)
Camptothecin,HCT-15,COREAD,-2.749159533
Camptothecin,HL-60,LAML,-4.472633257
Camptothecin,HT-29,COREAD,-2.124650112
Camptothecin,K-562,LCML,-1.763093775
Camptothecin,NCI-H226,LUSC,1.24377971
Camptothecin,NCI-H23,LUAD,-2.50300076
Camptothecin,NCI-H460,UNCLASSIFIED,-4.579411844
Camptothecin,NCI-H522,LUAD,-1.035037171
Camptothecin,T47D,BRCA,-1.334657242
Camptothecin,MCF7,BRCA,-1.842269949
Camptothecin,786-0,KIRC,-3.436538435
Camptothecin,A498,KIRC,-1.261677597
Camptothecin,A549,LUAD,-3.210065366
Camptothecin,ACHN,KIRC,-3.73460094
Camptothecin,BT-549,BRCA,-0.848840188
Camptothecin,CCRF-CEM,ALL,-4.654925745
Camptothecin,SK-MEL-28,SKCM,-1.826514758
Camptothecin,SK-MEL-2,SKCM,0.997351673
Camptothecin,SK-MEL-5,SKCM,-2.285589993
Camptothecin,Hs-578-T,BRCA,-0.686972919
Camptothecin,MOLT-4,ALL,-4.980218251
Camptothecin,SK-OV-3,OV,-1.426132354
Camptothecin,MDA-MB-231,BRCA,-2.117921515
Camptothecin,COLO-205,COREAD,-1.288957182
Camptothecin,SW620,COREAD,-3.182661926
Camptothecin,CAKI-1,KIRC,-3.24825963
Camptothecin,RPMI-8226,MM,-3.963567283
Camptothecin,SR,UNCLASSIFIED,-5.263177846
Camptothecin,NCI-H322M,LUAD,-0.943240868
Camptothecin,IGROV-1,OV,-2.170483675
Camptothecin,OVCAR-5,OV,0.44703766
Camptothecin,EKVX,LUAD,1.028555552
Camptothecin,HCC2998,COREAD,-1.403370489
Camptothecin,HOP-62,LUAD,-2.561102995
Camptothecin,HOP-92,UNCLASSIFIED,-1.438909453
Camptothecin,LOXIMVI,SKCM,-2.713817663
Camptothecin,M14,SKCM,-2.97802977
Camptothecin,UACC-62,SKCM,-3.455492293
Camptothecin,UACC-257,SKCM,0.159259019
Camptothecin,RXF393,KIRC,-0.619975967
Camptothecin,SN12C,KIRC,-1.38387352
Camptothecin,TK10,KIRC,0.832798581
Camptothecin,U031,KIRC,-2.991764054
Camptothecin,SNB75,GBM,-1.924681823
Camptothecin,U251,GBM,-3.494946675
Camptothecin,SF539,LGG,-3.522654607
Camptothecin,SF295,GBM,-4.145416805
Camptothecin,SF268,GBM,-3.040841452
Camptothecin,KM12,COREAD,-2.015511598
Camptothecin,OVCAR-4,OV,0.604000444
Camptothecin,OVCAR-8,OV,-3.182496907
Camptothecin,BxPC-3,PAAD,-0.637124088
Camptothecin,BONNA-12,,-5.138901792
Camptothecin,BHT-101,THCA,-3.490157904
Camptothecin,Becker,GBM,-2.789710592
Camptothecin,BE-13,ALL,-3.094847801
Camptothecin,ARH-77,MM,-4.572208892
Camptothecin,AGS,STAD,-3.262673577
Camptothecin,ABC-1,LUAD,-2.389655277
Camptothecin,A2058,SKCM,-2.976196522
Camptothecin,A375,SKCM,-4.323502781
Camptothecin,A253,UNCLASSIFIED,-2.97323316
Camptothecin,8305C,THCA,-0.78728775
Camptothecin,647-V,BLCA,-4.578057526
Camptothecin,639-V,BLCA,-5.143633425
Camptothecin,697,UNCLASSIFIED,-5.013616855
Camptothecin,BT-20,BRCA,-2.4680578
Camptothecin,A2780,UNCLASSIFIED,-3.397923728
Camptothecin,COR-L105,LUAD,0.668653239
Camptothecin,CRO-AP2,DLBC,-4.046558585
Camptothecin,COR-L88,SCLC,-1.104620882
Camptothecin,COLO-824,BRCA,-0.222575941
Camptothecin,COLO-800,SKCM,-2.112238635
Camptothecin,COLO-792,SKCM,-0.211515966
Camptothecin,COLO-680N,ESCA,0.169107555
Camptothecin,COLO-679,SKCM,-2.435796726
Camptothecin,CHP-212,NB,-3.899639724
Camptothecin,CFPAC-1,PAAD,-3.521542238
Camptothecin,Ca-Ski,CESC,-3.175816657
Camptothecin,Caov-3,OV,-3.812727696
Camptothecin,CAL-120,BRCA,-0.400992801
Camptothecin,CAL-72,UNCLASSIFIED,-2.625287627
Camptothecin,CAL-62,THCA,-4.144275712
Camptothecin,C32,SKCM,-2.968477589
Camptothecin,Daudi,UNCLASSIFIED,-3.881414794
Camptothecin,DB,DLBC,-4.620834708
Camptothecin,Daoy,MB,-4.413710454
Camptothecin,D-283MED,MB,-4.528375351
Camptothecin,DBTRG-05MG,GBM,-0.39395082
Camptothecin,DEL,UNCLASSIFIED,-5.275985479
Camptothecin,Detroit562,HNSC,-2.823571946
Camptothecin,DG-75,UNCLASSIFIED,-2.381882765
Camptothecin,DK-MG,GBM,0.993621451
Camptothecin,DJM-1,UNCLASSIFIED,-3.662816494
Camptothecin,DOHH-2,DLBC,-5.626466411
Camptothecin,DoTc2-4510,CESC,-2.39670206
Camptothecin,DU-4475,BRCA,-4.328224853
Camptothecin,EB2,UNCLASSIFIED,-4.307261969
Camptothecin,EB-3,UNCLASSIFIED,-2.632869576
Camptothecin,ECC10,UNCLASSIFIED,-3.05938901
Camptothecin,ECC12,UNCLASSIFIED,-1.101767571
Camptothecin,EFM-19,BRCA,0.220986095
Camptothecin,EFO-27,UNCLASSIFIED,0.581476796
Camptothecin,EM-2,LCML,-4.284381338
Camptothecin,EoL-1-cell,UNCLASSIFIED,-4.087071308
Camptothecin,ETK-1,UNCLASSIFIED,-1.189950528
Camptothecin,EVSA-T,BRCA,-0.969799534
Camptothecin,FADU,HNSC,-4.026296085
Camptothecin,FTC-133,THCA,-3.799876347
Camptothecin,G-361,SKCM,-1.657483812
Camptothecin,GAMG,LGG,-2.393874111
Camptothecin,GCIY,STAD,-2.46586441
Camptothecin,GDM-1,LAML,-4.351132709
Camptothecin,GI-1,LGG,-3.816897535
Camptothecin,GI-ME-N,NB,-0.567104056
Camptothecin,GOTO,NB,-4.251315226
Camptothecin,GR-ST,ALL,-4.084363823
Camptothecin,GCT,UNCLASSIFIED,-2.934573583
Camptothecin,ESS-1,UNCLASSIFIED,-4.874510433
Camptothecin,H4,LGG,-4.712835755
Camptothecin,H9,UNCLASSIFIED,-4.563237306
Camptothecin,HC-1,UNCLASSIFIED,-4.960263618
Camptothecin,HCC1419,BRCA,1.128465235
Camptothecin,HCC1569,BRCA,-0.348275261
Camptothecin,HCC1806,UNCLASSIFIED,-3.199853643
Camptothecin,HCC70,BRCA,0.360320105
Camptothecin,HEC-1,UCEC,1.199124526
Camptothecin,HEL,LAML,-3.978342491
Camptothecin,HGC-27,STAD,-2.885983936
Camptothecin,HH,UNCLASSIFIED,2.32817421
Camptothecin,HLE,LIHC,-3.366622869
Camptothecin,HMV-II,SKCM,-1.812955086
Camptothecin,HOS,UNCLASSIFIED,-2.754110682
Camptothecin,HSC-3,HNSC,-3.953424162
Camptothecin,HSC-4,HNSC,-3.110902652
Camptothecin,HT,DLBC,-1.788208155
Camptothecin,HT-1080,UNCLASSIFIED,-0.968463242
Camptothecin,HT-1197,BLCA,-1.333892247
Camptothecin,HT-1376,BLCA,2.043758456
Camptothecin,HT-144,SKCM,-1.969075362
Camptothecin,HT-3,CESC,-3.434126869
Camptothecin,HuCCT1,UNCLASSIFIED,-1.146122923
Camptothecin,HuH-7,LIHC,1.236077218
Camptothecin,HuO9,UNCLASSIFIED,-4.371273148
Camptothecin,HuTu-80,UNCLASSIFIED,-4.216072667
Camptothecin,IGR-1,SKCM,-1.119343071
Camptothecin,IMR-5,NB,-4.759970244
Camptothecin,IPC-298,SKCM,-2.229009514
Camptothecin,IST-MEL1,SKCM,-2.687252647
Camptothecin,IST-MES1,MESO,-2.257954123
Camptothecin,JAR,UNCLASSIFIED,-2.380586131
Camptothecin,JEG-3,UNCLASSIFIED,-3.867733405
Camptothecin,JiyoyeP-2003,UNCLASSIFIED,-3.578279615
Camptothecin,JVM-2,CLL,-4.856693996
Camptothecin,JVM-3,CLL,-5.5591958
Camptothecin,KALS-1,LGG,-0.592823004
Camptothecin,KARPAS-45,ALL,-1.586236587
Camptothecin,KARPAS-299,UNCLASSIFIED,-3.236114149
Camptothecin,KARPAS-422,DLBC,-2.989384061
Camptothecin,KASUMI-1,LAML,-3.112844634
Camptothecin,KATOIII,STAD,2.260041246
Camptothecin,KE-37,ALL,-4.885864126
Camptothecin,KG-1,LAML,-3.401681192
Camptothecin,KINGS-1,LGG,1.439428766
Camptothecin,KMOE-2,LAML,-2.868705049
Camptothecin,KMS-12-BM,MM,-2.828663148
Camptothecin,KNS-42,LGG,-1.1073518
Camptothecin,HuP-T3,PAAD,-0.828943521
Camptothecin,HuP-T4,PAAD,-3.944705055
Camptothecin,HT55,COREAD,-0.491924227
Camptothecin,HT-115,COREAD,-1.348443219
Camptothecin,H-EMC-SS,UNCLASSIFIED,-2.283163055
Camptothecin,GP5d,COREAD,-3.133328125
Camptothecin,DMS-53,SCLC,-3.194718972
Camptothecin,G-402,UNCLASSIFIED,-3.026632433
Camptothecin,G-401,UNCLASSIFIED,-3.585809806
Camptothecin,KY821,LAML,-4.647965991
Camptothecin,KU812,LCML,-3.1978461
Camptothecin,KU-19-19,BLCA,-3.417160217
Camptothecin,KS-1,GBM,-0.125425891
Camptothecin,KP-N-YN,NB,-2.622702609
Camptothecin,KYSE-150,ESCA,-2.695714332
Camptothecin,KYSE-180,ESCA,-1.119159376
Camptothecin,KYSE-270,ESCA,-2.959620255
Camptothecin,KYSE-450,ESCA,-1.050156524
Camptothecin,KYSE-510,ESCA,-2.574649959
Camptothecin,L-428,UNCLASSIFIED,-3.45126287
Camptothecin,L-540,UNCLASSIFIED,-4.831087338
Camptothecin,LAMA-84,LCML,-4.053064828
Camptothecin,LC-2-ad,LUAD,-3.990570605
Camptothecin,LC4-1,ALL,-4.642257454
Camptothecin,LNCaP-Clone-FGC,PRAD,-3.589240242
Camptothecin,LOUCY,ALL,-1.800191363
Camptothecin,LoVo,COREAD,-3.043927917
Camptothecin,LP-1,MM,0.631204988
Camptothecin,LS-123,COREAD,0.213906997
Camptothecin,LS-411N,COREAD,-0.272077143
Camptothecin,LS-513,COREAD,-3.160380845
Camptothecin,LU-99A,UNCLASSIFIED,-2.334767604
Camptothecin,MC116,DLBC,-4.350844408
Camptothecin,MC-IXC,NB,-5.647540505
Camptothecin,MDA-MB-175-VII,BRCA,-1.112028749
Camptothecin,MDA-MB-361,BRCA,-0.998458787
Camptothecin,MDA-MB-453,BRCA,-1.875993555
Camptothecin,MDA-MB-468,BRCA,-2.512764191
Camptothecin,MEL-HO,SKCM,-1.191313566
Camptothecin,MEL-JUSO,SKCM,-0.742579177
Camptothecin,MEG-01,LCML,-3.404587799
Camptothecin,MES-SA,UNCLASSIFIED,-2.929136992
Camptothecin,Mewo,SKCM,-0.236237746
Camptothecin,MFE-280,UCEC,-0.286835876
Camptothecin,MFE-296,UCEC,-2.010769778
Camptothecin,MG-63,UNCLASSIFIED,-3.389359683
Camptothecin,MHH-CALL-2,UNCLASSIFIED,-4.896038241
Camptothecin,MHH-CALL-4,,-4.358638517
Camptothecin,MHH-ES-1,UNCLASSIFIED,-4.277902017
Camptothecin,MHH-NB-11,NB,-5.26078296
Camptothecin,MHH-PREB-1,UNCLASSIFIED,-2.007841561
Camptothecin,MKN1,UNCLASSIFIED,-0.93848844
Camptothecin,MKN28,STAD,1.182117266
Camptothecin,ML-2,LAML,-4.32664102
Camptothecin,MLMA,UNCLASSIFIED,-3.116057633
Camptothecin,MN-60,UNCLASSIFIED,-3.318056641
Camptothecin,MOG-G-CCM,LGG,-1.51359055
Camptothecin,MOG-G-UVW,LGG,-3.883794095
Camptothecin,MOLT-13,ALL,-4.617958245
Camptothecin,MOLT-16,ALL,-5.356237756
Camptothecin,MONO-MAC-6,LAML,-3.878637323
Camptothecin,Mo-T,UNCLASSIFIED,-3.427482983
Camptothecin,MPP-89,MESO,-1.688794129
Camptothecin,MRK-nu-1,BRCA,-2.481709004
Camptothecin,MSTO-211H,MESO,-2.666424575
Camptothecin,MV-4-11,UNCLASSIFIED,-4.984287281
Camptothecin,NALM-6,UNCLASSIFIED,-4.839853722
Camptothecin,NAMALWA,UNCLASSIFIED,-4.954537445
Camptothecin,NB69,NB,-4.840967622
Camptothecin,NCCIT,,0.677116731
Camptothecin,NCI-H508,COREAD,-3.23037853
Camptothecin,NCI-H520,LUSC,-1.554742705
Camptothecin,SNU-1,STAD,-3.323192737
Camptothecin,SNU-5,STAD,-4.784796697
Camptothecin,SNU-16,STAD,-3.584754749
Camptothecin,NH-12,NB,-4.46017025
Camptothecin,NKM-1,LAML,-4.86482246
Camptothecin,NMC-G1,LGG,0.458055746
Camptothecin,no-11,LGG,0.503998088
Camptothecin,NOMO-1,LAML,-3.639361465
Camptothecin,no-10,LGG,-1.516814116
Camptothecin,NTERA-2-cl-D1,UNCLASSIFIED,-3.665190765
Camptothecin,NUGC-3,STAD,-4.149704773
Camptothecin,NCI-H747,COREAD,-0.707632297
Camptothecin,NCI-H716,COREAD,0.331595318
Camptothecin,NCI-H596,UNCLASSIFIED,0.626039079
Camptothecin,NCI-H441,LUAD,-0.846608223
Camptothecin,NCI-N87,STAD,-1.100636227
Camptothecin,NCI-H2452,MESO,0.275257124
Camptothecin,NCI-H1793,LUAD,-1.575003058
Camptothecin,NCI-H358,LUAD,-0.870575402
Camptothecin,NCI-H1155,UNCLASSIFIED,-4.39681979
Camptothecin,NCI-H1105,SCLC,-4.793972145
Camptothecin,NCI-H1436,SCLC,0.727596398
Camptothecin,NCI-H28,MESO,0.22613751
Camptothecin,NCI-H1581,UNCLASSIFIED,-2.026362519
Camptothecin,NCI-H1573,LUAD,1.402197503
Camptothecin,NCI-H1666,LUAD,-1.278057037
Camptothecin,NCI-H1703,UNCLASSIFIED,-2.621777358
Camptothecin,NCI-H1755,LUAD,-0.746126405
Camptothecin,NCI-H1993,LUAD,-1.499520428
Camptothecin,NCI-H2081,SCLC,-4.02808084
Camptothecin,NCI-H2196,SCLC,-3.0774422
Camptothecin,NCI-H524,SCLC,-2.105472672
Camptothecin,NCI-H748,SCLC,-4.332427553
Camptothecin,ONS-76,MB,-2.028215477
Camptothecin,OPM-2,MM,-2.500489199
Camptothecin,OS-RC-2,KIRC,-0.863687252
Camptothecin,P12-ICHIKAWA,ALL,-4.972130461
Camptothecin,P30-OHK,ALL,-4.100622388
Camptothecin,P31-FUJ,LAML,-3.404091254
Camptothecin,PA-1,UNCLASSIFIED,-3.318358646
Camptothecin,OCUB-M,BRCA,-2.267050705
Camptothecin,OC-314,OV,-3.767197453
Camptothecin,PF-382,ALL,-4.512798931
Camptothecin,Raji,UNCLASSIFIED,-4.486052612
Camptothecin,RCM-1,COREAD,-1.611256606
Camptothecin,RD,UNCLASSIFIED,-0.782803337
Camptothecin,REH,UNCLASSIFIED,-4.088645008
Camptothecin,RF-48,STAD,-3.79713118
Camptothecin,RKO,COREAD,-3.546081751
Camptothecin,RMG-I,UNCLASSIFIED,1.318799787
Camptothecin,RPMI-6666,UNCLASSIFIED,-4.807294141
Camptothecin,RPMI-8402,ALL,-5.173786289
Camptothecin,RS4-11,ALL,-4.646672376
Camptothecin,RT-112,BLCA,-0.125779859
Camptothecin,RVH-421,SKCM,-0.975330078
Camptothecin,Saos-2,UNCLASSIFIED,-2.903440991
Camptothecin,SAS,HNSC,-4.690357624
Camptothecin,SCC-9,HNSC,-0.210536981
Camptothecin,SCH,UNCLASSIFIED,0.090104113
Camptothecin,SF126,GBM,-3.485910152
Camptothecin,SH-4,SKCM,-1.981937842
Camptothecin,SIG-M5,LAML,-2.916627376
Camptothecin,SJRH30,UNCLASSIFIED,-1.776313214
Camptothecin,SJSA-1,UNCLASSIFIED,-2.123624505
Camptothecin,SK-CO-1,COREAD,-5.232522595
Camptothecin,SK-HEP-1,LIHC,-2.165986409
Camptothecin,SK-LMS-1,UNCLASSIFIED,-3.766386723
Camptothecin,SK-LU-1,LUAD,-2.277182967
Camptothecin,SKM-1,UNCLASSIFIED,-4.361569445
Camptothecin,SK-MEL-1,SKCM,-2.309100147
Camptothecin,SK-MEL-3,SKCM,-1.596698177
Camptothecin,SK-MEL-24,SKCM,-2.959516755
Camptothecin,SK-MEL-30,SKCM,-0.80023719
Camptothecin,SK-MEL-31,SKCM,-1.697386773
Camptothecin,SK-MES-1,LUSC,-2.822802596
Camptothecin,SK-MG-1,GBM,-1.712158911
Camptothecin,SK-PN-DW,UNCLASSIFIED,-4.621830907
Camptothecin,SK-UT-1,UNCLASSIFIED,-3.264141922
Camptothecin,SNG-M,UCEC,-2.20104919
Camptothecin,SNU-387,LIHC,2.124210929
Camptothecin,SNU-423,LIHC,-1.359233221
Camptothecin,SNU-449,LIHC,1.370542375
Camptothecin,SNU-C2B,COREAD,0.237592346
Camptothecin,SU-DHL-1,UNCLASSIFIED,-4.215630562
Camptothecin,SUP-T1,ALL,-4.657178729
Camptothecin,SW13,ACC,-4.146297404
Camptothecin,SW1088,GBM,-1.342534658
Camptothecin,SW1116,COREAD,0.010487222
Camptothecin,SW1417,COREAD,0.800371395
Camptothecin,SW1463,COREAD,-2.092786472
Camptothecin,SW1710,BLCA,0.165799993
Camptothecin,SW1783,LGG,-3.578249808
Camptothecin,SW48,COREAD,-3.645353621
Camptothecin,SW626,OV,0.175827322
Camptothecin,SW684,UNCLASSIFIED,1.24605993
Camptothecin,SW837,COREAD,-0.932694868
Camptothecin,SW872,UNCLASSIFIED,-3.938333054
Camptothecin,SW948,COREAD,-2.16235455
Camptothecin,SW962,UNCLASSIFIED,0.491599184
Camptothecin,SW982,UNCLASSIFIED,-4.069435795
Camptothecin,T84,COREAD,-2.218478056
Camptothecin,TALL-1,ALL,-4.371930324
Camptothecin,TGBC1TKB,UNCLASSIFIED,-0.162883146
Camptothecin,TGBC11TKB,STAD,-1.460573733
Camptothecin,THP-1,LAML,-2.706662335
Camptothecin,TUR,DLBC,-3.402812865
Camptothecin,TYK-nu,UNCLASSIFIED,-3.681748262
Camptothecin,U-2-OS,UNCLASSIFIED,0.945356058
Camptothecin,U-698-M,UNCLASSIFIED,-3.071718474
Camptothecin,UACC-893,BRCA,-0.382536059
Camptothecin,UMC-11,UNCLASSIFIED,0.134547761
Camptothecin,VMRC-RCZ,KIRC,1.17397099
Camptothecin,WM-115,SKCM,-1.275280544
Camptothecin,WSU-NHL,UNCLASSIFIED,-4.700814363
Camptothecin,YAPC,PAAD,-1.418875027
Camptothecin,YH-13,GBM,-1.640108605
Camptothecin,ZR-75-30,BRCA,2.8245614
Camptothecin,RCC10RGB,KIRC,-1.500610993
Camptothecin,KURAMOCHI,UNCLASSIFIED,0.590753514
Camptothecin,KM-H2,UNCLASSIFIED,-3.292740255
Camptothecin,HuO-3N1,UNCLASSIFIED,-1.628301372
Camptothecin,OE19,ESCA,1.024524347
Camptothecin,SUP-B8,UNCLASSIFIED,-4.733480149
Camptothecin,NCI-H838,LUAD,-1.326509437
Camptothecin,Ramos-2G6-4C10,UNCLASSIFIED,-2.140666338
